title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Sopa de mariscos,,"['1\nSe hace un caldo espumado muy bien con los 12 primeros ingredientes, luego se sumergen los camarones dentro del caldo de 5 a 7 minutos o hasta que cuezan,despues se retiran y se guardan, se cuecen los callos durante 1 minuto dentro del caldo y se cortan los trozos de pescado de 2 por 2 sentimetros sumergiendolos durante 5 minutos dentro del caldo.', '2\nManera de hacer la salsa:', '3\nSe muelen los jitomates,el ajo la cebolla y los chiles,que se frien en el aceite de oliva .', '4\nSe agrega el caldo colado que se aromatiza con hierbas de olor y se rectifica la sazon,entonces se agrega todos los pescados y mariscos,se sirve bien caliente con hojitas de epazote fresco.']","Valoración: 4,2 (34 votos)",,,,,,,"['2 litros de agua', '2 kilos de huesos de pescado', '1 taza de vino blanco seco', '4 zanahorias medianas en rebanadas muy delgadas', '1/kilo de poros partidos en 4', '1 nabo pequeño', '1 cebolla blanca', '4 dientes de ajo', '10 ramas de perejil', '4 hojas de laurel', '10 pimientas negras', '2 cucharadas de consome de pollo o sal al gusto', '500 gramos de camarones medianos', '250 gramos de callo de hacha', '20 almejas lavadas', '300 gramos de pulpo cocido y en trocitos', '600 gramos de pulpo crudo', '500 gramos de trozos de pescado', '50 gramos de pulpa de jaiva cocida', '3/4 de kilo de jitomate asado', '3 dientes de ajo', '1/2 kilo de cebolla', '4 chiles guajillos desvenados, sin semillas y remojados en agua caliente', '1/3 de aceite de oliva', 'epazote al gusto']",https://www.recetasgratis.net/receta-de-sopa-de-mariscos-9033.html
Receta FÁCIL y RÁPIDA,"La receta de gazpacho de verano consiste en una sopa o crema bien fresquita, ideal para los días de verano, un plato tradicional de la cocina andaluza. Es un excelente entrante lleno de vitaminas y minerales, además, es muy completo por todas las verduras que contiene. Asimismo, este gazpacho es una receta muy sencilla con base de verduras de temporada que debes aprovechar para consumirlas. También debes saber que esta crema es importante tomarla bien fresquita, por eso es mejor hacerla con antelación y dejarla un par de horas como mínimo, incluso se puede hacer de un día para otro y dejarlo en la nevera tapado, pero sin añadir el aliño de aceite y vinagre para que los sabores no se pongan fuertes.En RecetasGratis te enseñamos cómo hacer gazpacho de verano fácil y rápido. ¡A cocinar!","['1\nPara empezar con la receta de gazpacho de verano, primero prepara las verduras. Para ello, corta los tomates, puedes retirar la piel del tomate o dejarla. A continuación, trocéalos y colócalos en un vaso batidor. Por otro lado, lava el pimiento verde y trocéalo también. Pela la cebolla e incorpora junto con las verduras.\nTruco: medio pepino será suficiente, ya aporta mucho sabor, pero se puede añadir la cantidad que prefieras.', '2\nPela el pepino y corta en trozos pequeños, añádelo con el tomate. A continuación, pela el ajo y añádelo también.\nTruco: si crees que un ajo es mucho, puedes añadir medio diente.', '3\nCorta el pan, es mejor si es de un día o dos, retira la corteza y deja la miga. A continuación, trocea y añade a la batidora, se puede poner el pan en remojo primero si está muy duro, pero como lo triturarás no hace falta.', '4\nAñade un poco de agua agua fría hasta dejarlo con la consistencia que te guste, tritura muy bien. Si observas que queda muy claro, puedes añadir más pan o verduras, aunque estas tienen bastante agua.', '5\nCuando esté todo triturado, añade un chorro de aceite, vinagre y una pizca de sal. Vuelve a mezclar hasta que quede una crema bien fina. Prueba el gazpacho y rectifica si hace falta.', '6\nReserva el gazpacho en la nevera para que se quede bien fresquito. A la hora de servir debe estar bien frío. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']","Valoración: 3,3 (9 votos)",4 comensales,30m,,Dificultad baja,,[],"['600 tomates maduros', '1 trozo de pimiento verde', '1 trozo de cebolla', '1 diente de ajo', '1 trozo de pepino', '1 trozo de pan', '1 chorro de aceite de oliva', '1 chorro de vinagre', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-gazpacho-de-verano-8856.html
Crema madrileÑa,,"['1\nPoner el caldo al fuego, cuando rompa el hervor echar los fideos en forma de lluvia.', '2\nRevolver y cocer cinco minutos, añadir la salsa de tomate y dejar hervir otros cinco minutos.', '3\nSazonar con sal. Servir caliente.']",Valoración: 2 (10 votos),,,,,,,"['1 litro de caldo', '2 puñados de fideos', '4 cucharadas de salsa de tomate espesa', 'Sal']",https://www.recetasgratis.net/receta-de-crema-madrilena-8560.html
Gazpacho de remolacha con picadillo de jamon y aguacate,,"['1\nLavar y cortar todas las verduras menos el aguacate y triturarlas en la batidora.', '2\nPasar por el chino.', '3\nSalar.', '4\nVerter 8 cucharadas de aceite y 5 de vinagre.', '5\nRemover bien.', '6\nEchar unos trozos de hielo.', '7\nEnfriar en la nevera durante unas horas.', '8\nHacer una juliana con el jamon.', '9\nEn el momento de servir, dividir el gazpacho en 6 tazas de consome.', '10\nPoner por encima el jamón, unos piñones, unos taquitos de aguacate debidamente pelado y un poco de cilantro.']",Valoración: 4 (8 votos),,,,,,,"['1 kilo de tomates rojos y maduros', '1 remolacha cocida mediana', 'Aceite de oliva', 'Sal', 'Vinagre', '1 pimiento verde', '1 cebolleta 1 diente de ajo', '1 ramillete de cilantro fresco', '1 aguacate maduro', '50 g de piñones', '50 g de jamon serrano en finas lonchas']",https://www.recetasgratis.net/receta-de-gazpacho-de-remolacha-con-picadillo-de-jamon-y-aguacate-8561.html
"Crema de champiñones, puerros y patatas",,"['1\nSeparamos las cabezas de los pedúnculos de los champiñones y lavamos todo muy bien.', '2\nEn un cazo ponemos la mantequilla a calentar y echamos los champiñones, los rociamos con un chorrito de limón y los salamos ligeramente.', '3\nDejamos que se hagan unos seis minutos a fuego muy suave.', '4\nSacamos la mitad de las cabezas y las cortamos por la mitad, las reservamos con su jugo.', '5\nAparte, pelamos, lavamos y cortamos las patatas y lavamos y cortamos los puerros en trozos de 3 cm. de largo.', '6\nEn una cacerola ponemos el aceite a calentar y cuando esté caliente echamos los puerros y las patatas, ambos mezclados, dando vueltas con una cuchara de madera durante 5 minutos.', '7\nLos rociamos con agua, que justo los cubra, salamos y cocemos durante 25 minutos aprox.', '8\nCuando estén templados pasamos por la batidora con todos los champiñones, excepto las cabezas que hemos cortado en láminas.', '9\nAñadimos las láminas con su jugo junto con la nata al puré, añadimos pimienta al gusto y rectificamos de sal y servimos bien caliente.']","Valoración: 3,5 (10 votos)",,,,,,,"['400 gr. de champiñones', '2 Patatas medianas', '2 Puerros mediano.', '30 gr. de mantequilla', 'Un chorrito de zumo de limón', '1 Vaso de nata (de los de vino tinto)', '3 Cucharadas soperas de aceite', 'Agua', 'pimienta']",https://www.recetasgratis.net/receta-de-crema-de-champinones-puerros-y-patatas-8559.html
Sopa tapada,,"['1\nCocinar el charque en una olla con agua y una vez cocido,molerlo en el tacú,hasta que queden trozos finos,(sino terminar de cortar con el cuchillo que quede en tiras pequeñas).', '2\nCocinar los plátanos, cortarlos en cuadrados al igual que los huevos.', '3\nFreir en una sartén la cebolla hasta que dore. agregar pimienta,comino y sal,incorporar el tomate picado y cuando éste se seshaga añadir el colorante, la carne, los huevos y los plátanos.', '4\nCocinar el arroz con agua y sal y 1/2 cebolla.', '5\nEn una fuente de horno, poner la mitad del arroz, cubrirla con la preparación anterior,tapar con la otra mitad del arroz, y meter al horno por unos 20 minutos decorar con huevos duros aceitunas negras.', '6\nServir caliente.']",Valoración: 4 (17 votos),,,,,,,"['1/2 kilo de charque de res (carne seca)', '2 plátanos maduros', '2 tazas de arroz', '3 huevos duros', '1 cebolla grande', '1 tomate', '1/2 cucharilla de pimienta molida', '1/8 cucharilla de comino molido', '1 cucharilla de colorante', 'aceitunas negras para adornar']",https://www.recetasgratis.net/receta-de-sopa-tapada-8388.html
Zarzuela de mariscos,"La zarzuela de marisco es un plato típico de la cocina española que suele prepararse para ocasiones especiales. Normalmente se prepara con ingredientes frescos y puede ser solo de marisco o de marisco y pescado como en este caso. Aunque se trata de un proceso relativamente lento, hacer zarzuela de mariscos es muy fácil, así que échale un vistazo a esta receta y anímate a probar lo mejor de la comida española.","['1\nLo primero que debemos hacer para preparar esta delicioso zarzuela de mariscos fácil es lavar muy bien los mariscos y el pescado. Para ello, empezaremos por los pulpitos, la sepia y las gambas. Corta la sepia en trozos de un bocado y lava todo con abundante agua.', '2\nPara limpiar las colas de rape, elimina bien toda la piel y desecha la espina central. Para hacerlo, has un corte por el centro como se ve en la foto, utiliza un cuchillo bien afilado y ten cuidado de no cortarte.', '3\nSi deseas, elimina los bigotes de las gambas, de esta forma la zarzuela quedará más limpia. También remoja las almejas en agua con sal para que boten a arena y lava los cuerpos, las cígalas y los mejillones. Recuerda que todos los ingredientes deben estar previamente descongelados en caso de que no sean frescos.', '4\nA continuación, cocina los mejillones al vapor. Reserva aparte los mejillones y el caldo de la cocción, previamente pasado por un colador. Si tienes dudas sobre esta cocción puedes consultar la receta de berberechos al vapor, ya que se trata del mismo procedimiento.', '5\nCalienta una sartén con aceite y haz un sofrito de ajo y cebolla, todo cortado finamente. Mantén la llama a fuego medio-bajo.', '6\nCon todo ya en orden, nos ponemos manos a la obra con la zarzuela. Para ello, calienta una olla con aceite, recuerda usar una olla lo suficientemente grande. Cuando empiece a calentar el aceite coloca los cuerpos de cangrejo.', '7\nPasados unos 2-3 minutos, incorpora a la olla los pulpitos y pasados otros 2-3 minutos, añade la sepia. Mantén la cocción a fuego alto todo el tiempo. Es importante que vayas esparciendo los mariscos por toda la olla, ya que es mejor no revolver la zarzuela.', '8\nDeja que pasen otro par de minutos coloca las cígalas, la idea es ir colocando capas de marisco. En este punto también tendrás que agregar las pastillas de caldo. Puedes añadirlas en polvo como se ve en la foto o disueltas en un poco de caldo de cocción de los mejillones.\nTruco: Para remover todo puedes sujetar la olla por las asas y mover un poco para que se mezclen ligeramente los mariscos. Lleva a cabo este proceso unas cuantas veces durante la cocción.', '9\nDespués de unos 2-3 minutos, añadimos las gambas y tapamos la olla. A continuación con la llama alta y dejamos que se cocine todo unos 15-20 minutos para que los mariscos vayan soltando el caldo.', '10\nMientras, cuando la cebolla empiece a ponerse transparente y el ajo esté hecho, añadimos el tomate rallado al sofrito. Revuelve bien todo y continua cocinando con la llama baja para que no se queme.', '11\nPasado el tiempo de cocción, abre la olla y retira los cuerpos de cangrejo. Reserva en una bandeja aparte. Este paso es opcional, ya que en este caso lo hacemos porque la olla no es tan grande para que entre todo. En este punto los cuerpos ya están hechos y se pueden retirar sin problemas.', '12\nUna vez hayas hecho espacio en la olla de la zarzuela de marisco, añade el rape troceado y las almejas previamente enjuagadas y escurridas. Reparte todo de forma uniforme y dale un par de sacudidas a la olla.', '13\nPasados otro par de minutos, incorpora todo el sofrito que hemos estado preparando a la olla. Recuerda continuar con la cocción a fuego alto y no remover con ningún tipo de cucharón la zarzuela.', '14\nPara terminar, añade todo el perejil junto con el caldo que hemos reservado de la cocción de los mejillones. Deja al fuego unos 3-5 minutos y apaga.', '15\nAhora si que puedes utilizar un cucharón y remover suavemente toda la zarzuela para repartir el sofrito y el perejil de forma uniforme. Ten cuidado de no romper los mariscos dentro de la olla.', '16\nColoca un cuerpo y unos cuantos mejillones en cada plato y sirve la zarzuela de mariscos. Puedes decorar el plato con una ramita de perejil y una rodaja de limón. Y si estas pensando en este plato para compartir en familia te recomiendo preparar unas bruschetta con aguacate como aperitivo.']",Valoración: 4 (19 votos),10 comensales,30m,Plato principal,Dificultad baja,,['Recetas españolas'],"['2 kilogramos de Cuerpos de cangrejo', '1 kilogramo de Pulpitos', '1 kilogramo de Sepia', '12 unidades de Cigala', '2 kilogramos de Gambas', '2 unidades de Pastilla de caldo concentrado', '2 unidades de Cebolla', '1 cabeza de Ajo', '1 manojo de Perejil', '5 unidades de Tomate', '1 kilogramo de Almejas', '1 unidad de Cola de rape (grande)', '2 kilogramos de Mejillones', '250 mililitros de Caldo de cocción de los mejillones']",https://www.recetasgratis.net/receta-de-zarzuela-de-mariscos-8252.html
¡También llamados guisantes!,No te pierdas esta maravillosa sopa de crema de arveja o guisantes tan nutritiva que puedes preparar en poco tiempo gracias al paso a paso que te enseñamos en RecetasGratis. Un plato fácil y rápido de elaborar que te servirá de entrante perfecto para cualquier ocasión. ¡Anímate y toma nota de los ingredientes!,"['1\nLicuar todos los ingredientes (menos el queso blanco) hasta lograr una mezcla cremosa.', '2\nCocer la sopa de arvejas a fuego lento hasta que hierva. Si se utilizó harina de arvejas se cocinará durante 40 minutos, cuidando que no se pegue, y en caso de usar arvejas cocidas la cocción durará sólo 10 minutos.', '3\nAgregar el queso blanco y los cubitos de pan integral tostados en horno a temperatura máxima.', '4\nServir la sopa crema de arvejas recién hecha. Puedes preparar para acompañar este rico entrante unas estupendas albóndigas rellenas de queso y una tarta de maracuyá  de postre por ejemplo.']","Valoración: 3,4 (10 votos)",2 comensales,30m,Entrante,Dificultad baja,,[],"['1 litro de caldo de verduras', '1 cebolla chica', '1 diente de ajo', 'Sal marina', '2 cucharadas de queso blanco', '1 taza de arvejas cocidas o guisantes (se puede reemplazar por ½ taza de harina de arvejas disuelta en agua fría)', 'Cubitos de pan integral', 'Perejil picado']",https://www.recetasgratis.net/receta-de-sopa-de-crema-de-arveja-8137.html
Caldo gallego facil,,"['1\nSe ponen las alubias en remojo en agua fría, durante la noche, y en agua templada el lacón.', '2\nEn una cazuela grande con bastante agua fría, se ponen a cocer las alubias, el lacón y el tocino.', '3\nCuando las alubias están medio cocidas, se les agrega la berza picada.', '4\nUna vez cocido todo, se añaden las patatas cortadas en trozos grandes.', '5\nEn la sartén se derrite la manteca de cerdo.', '6\nCuando está bien caliente, se dora un ajo y se añade al caldo.', '7\nSe sazona de sal y se deja cocer una hora más.', '8\nTiene que estar caldoso.']",Valoración: 4 (10 votos),,,,,,,"['Un tazón de Alubias blancas', 'Un trozo de Lacón', 'Un trozo de Tocino añejo', '3 Patatas grandes', 'Unas hojas de Berza', 'Un trozo de manteca de cerdo un poco rancia', 'Un Ajo']",https://www.recetasgratis.net/receta-de-caldo-gallego-facil-7964.html
Gazpacho de lechuga,,"['1\nSe colocan todos los ingredientes en el vaso de la batidora (mezcladora) con un poco de agua y se procede a triturarlos hasta formar una crema homogénea.', '2\nSe salpimienta y se aliña con un chorro de aceite y unas gotitas de vinagre.']","Valoración: 2,5 (81 votos)",,,,,,,"['Las hojas verdes de 2 o 3 lechugas', '2 o 3 yogures de leche de cabra o soja', '1 cucharada de alcaparras', '3 pepinillos en vinagre', '2 huevos duros', 'Vinagre balsámico', 'Aceite de oliva', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-gazpacho-de-lechuga-7912.html
Sopa de puerros al limón,,"['1\nTrocear los puerros y cocer lentamente durante 1/2 hora.', '2\nDejar reposar y pasar por la Turmix y chino, añadiendo una crema hecha de harina, nata y huevo mezclado.', '3\nCocer 10 minutos y servir con un chorro de limón.']",,,,,,,,"['1 kilo de puerros (reservando las hojas verdes)', '1 litro de agua', '2 cucharadas de harina integral o copos', '1 vasito de leche o nata', '1 huevo', 'sal', 'nuez moscada', '2 cucharadas de limón']",https://www.recetasgratis.net/receta-de-sopa-de-puerros-al-limon-7834.html
Sopa light de ajo,,"['1\nEn una licuadora colocar los ajos con ½ litro de caldo y la miga de pan y licuar a velocidad máxima.', '2\nAgregue el resto del caldo y cocinar unos 4 minutos.', '3\nAgregue el aceite, el pimentón dulce y pimienta.', '4\nSirva bien caliente con unas hojas de orégano fresco.']",Valoración: 3 (1 voto),,,,,,,"['20 dientes de ajo asados(quitarles el brote verde si lo tienen)', '1 l (1000 cc) de caldo de verduras', '2 rodajas de pan lactal negro sin corteza', '25 cc de aceite de oliva', '1 cucharada de pimentón dulce español', 'Hojas de orégano fresco']",https://www.recetasgratis.net/receta-de-sopa-light-de-ajo-7828.html
Sopa fría de zanahoria y naranja,"La sopa fría de zanahoria y naranja es ligera y refrescante, ideal para consumir en climas calurosos o en época de verano. Aparte de esto, esta sopa fría es muy nutritiva y sana ya que nos aporta muchas vitaminas y minerales.","['1\nAntes de realizar esta receta, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con aceite, sofreír por unos minutos la zanahoria, el ajo y la cebolla, todo cortado en trozos pequeños, salpimentar.', '3\nEs momento de agregar el caldo de pollo y el zumo de naranja. Cocinar a fuego bajo y tapado durante 30 minutos, rectificar sabor con sal y pimienta.', '4\nTranscurrido este tiempo, licuar la sopa hasta obtener una mezcla homogénea. Colar para obtener una sopa ligera, cuando esté un poco fría llevar a la nevera durante 30 minutos mínimo.', '5\nServir la sopa fría de zanahoria y naranja y disfrutar. Esta sopa ligera es perfecta para consumir en el verano al igual que el típico gazpacho de pepino o la sopa de melón con jamón. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 3,6 (7 votos)",2 comensales,45m,Entrante,Dificultad baja,,['Recomendada para perder peso'],"['1 unidad de Zanahoria', '1 unidad de Naranja', '2 dientes de Ajo', '100 gramos de Cebolla', '1 chorro de Aceite de oliva', '300 mililitros de Caldo de pollo', '1 pizca de Pimienta', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-sopa-fria-de-zanahoria-y-naranja-7510.html
"Salsa de crema, gruyere y jamón",,"['1\nEn una sartén colocar la manteca con la crema de leche y la salvia cuando rompe el hervor agregar 50g de queso parmesano rallado y luego el queso gruyere rallado y por último el jamón cocido y el crudo.', '2\nSe condimenta con poca sal y pimienta negra de molinillo.']","Valoración: 4,2 (12 votos)",,,,,,,"['150g de jamón cocido cortado finito', '150g de jamón crudo cortado finito', '250g de crema de leche', '200g de queso gruyere rallado', '50g de manteca', '250g de queso parmesano rallado', '7 hojas de salvia picadas', 'Sal', 'pimienta a gusto']",https://www.recetasgratis.net/receta-de-salsa-de-crema-gruyere-y-jamon-7442.html
Crema de mariscos,,"['1\nHacemos el fumet de pescado y lo colamos.', '2\nEn una cazuela ponemos a pochar con un poco de aceite, la cebolla, el puerro, las zanahorias y los ajos todo ello sazonado con el tomillo, estragón y laurel, cuando estén en su punto añadimos la harina, el coñac y el vino blanco.', '3\nDejamos hervir 5 minutos y después añadimos el tomate, el fumet de pescado, los cangrejos y las gambas con cáscara (todo bien lavado), dejamos cocer durante unos 30 minutos.', '4\nAl cabo de este tiempo lo retiramos y trituramos con la batidora y lo pasamos por un colador, volvemos a ponerlo en el fuego y agregamos la nata líquida hasta obtener una crema homogénea.', '5\nRectificamos de sal y pimienta.', '6\nCortamos el puerro que tenemos para adornar en rodajitas y las freímos con un poquito de mantequilla y las ponemos por encima de la crema de mariscos en la sopera o bien en una taza de consomé.']","Valoración: 4,2 (12 votos)",4 comensales,45m,Entrante,Dificultad media,,[],"['½ k de cangrejos.', '150 g de gambas.', '150 g de cebollas.', '150 g de puerros.', '200 g de tomates.', '150 g de zanahorias.', '4 dientes de ajos.', '3 hojas de laurel.', 'Estragón.', '100 g de harina.', '¼ l de vino blanco.', '1 copa de coñac.', 'Nata líquida.', '2 puerros para adornar.', 'Tomillo.', 'Fumet de pescado.']",https://www.recetasgratis.net/receta-de-crema-de-mariscos-7363.html
Crema de cangrejo,No te pierdas esta deliciosa crema de cangrejo con bechamel tan melosa y sabrosa que te enseñamos en RecetasGratis porque no tiene desperdicio. Se trata de una crema de marisco con cangrejos exquisita que podrás servir como entrante en cualquier ocasión.,"['1\nCon 20 gramos de mantequilla se rehoga la zanahoria, las cebollitas y el perejil todo finamente picado.', '2\nSe agregan los cangrejos y cuando estos estén rojos se añade el vino. Se pone a fuego fuerte para que el vino se evapore.', '3\nSe sacan los cangrejos y se pelan. Se reservan 12 colas de cangrejo. El resto de los cangrejos pelados se pasan por la trituradora con el resto de la cocción.', '4\nSe hace la bechamel rehogando en mantequilla la harina hasta que tome color.', '5\nSe añade la leche hasta conseguir una fina salsa bechamel, y cuando esté espesa se agrega la crema de marisco con cangrejos con el resto de la mantequilla.', '6\nSe añade el caldo hirviendo poco a poco.', '7\nServir la crema de cangrejo recién hecha bien caliente o templada.']","Valoración: 3,9 (9 votos)",2 comensales,45m,Entrante,Dificultad baja,,[],"['500 ml de caldo', '500 gramos de cangrejos', '2 chalotas o cebollas francesas', '100 gramos de mantequilla', '500 ml de leche', '1 cucharada de harina', '1 vasito de vino blanco', '1 zanahoria']",https://www.recetasgratis.net/receta-de-crema-de-cangrejo-7314.html
Sopa de ajo castellana,"Si te gustan las sopas de verduras, seguro que conoces la famosa sopa de ajo. Con esta receta fácil podrás aprender a preparar una sopa sencilla pero de sabor contundente, ideal para los días de frío. La sopa de ajo castellana es una receta típica española.","['1\nSe pelan los ajos y se refríen en una cazuela de barro, se apartan y en el mismo aceite se fríe el pan cortado en dados.', '2\nSe incorporan los ajos y el pimentón e inmediatamente se cubre con agua o caldo para que éste no se queme.', '3\nCuando el caldo se haya reducido se escalfan los huevos.', '4\nSe da un último hervor y se sirve muy caliente. Disfruta de esta deliciosa sopa de ajo o sopa castellana en invierno o durante la época de semana santa cuando es la tradición.']","Valoración: 3,3 (6 votos)",4 comensales,30m,Entrante,Dificultad baja,,['Recetas españolas'],"['½ taza de Aceite', '1 litro de Agua', '6 dados de Ajo', '6 unidades de Huevo', '125 gramos de Pan en reabanadas', '1 cucharadita de Pimentón', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-sopa-de-ajo-castellana-7298.html
Crema de zanahoria fría,"En esta receta aprenderás a preparar una crema de zanahoria fría, muy sencilla y rápida. Además, requiere de ingredientes muy fáciles de encontrar y económicos. Sigue leyendo y descubre con RecetasGratis.net cómo hacer zanahorias a la crema.","['1\nPela las zanahorias y el puerro, lávalos y córtalos en rodajas finas. Luego, coge una olla, vierte agua y un poco de sal y ponla al fuego. Cuando hierva, introduce las rodajas de zanahoria y puerro y deja que se cocinen.', '2\nUna vez cocinadas las rodajas de zanahoria y puerro, se escurren y se baten con la batidora de mano. Si quieres una crema más suave, puedes pasar la preparación por el chino.', '3\nIncorpora la nata o crema de leche y sigue batiendo hasta integrar. Acto seguido, añade la mantequilla troceada y bate hasta obtener una crema suave.', '4\nEsta receta de crema de zanahoria está pensada para servirse fría, pero si quieres hacerlo caliente, puedes calentarla al fuego unos minutos. Y si quieres que te quede más líquida, añade un poco de leche.']",Valoración: 3 (10 votos),2 comensales,30m,Entrante,Dificultad baja,,[],"['50 gramos de Mantequilla', '250 gramos de Nata líquida', '1 unidad de Puerro', '1 pizca de Sal', '1 kilogramo de Zanahorias']",https://www.recetasgratis.net/receta-de-crema-de-zanahoria-fria-7260.html
Sopa de pollo y camarones,,"['1\nEn una olla con el agua y la sal ponga a hervir la pechuga de pollo junto con el puerro, el apio y la hoja de laurel.', '2\nCuando la pechuga esté cocida retírela con espumadera y déjela enfriar.', '3\nEn una olla de teflón ponga el aceite a fuego, cuando esté bien caliente baje la llama y dore allí el ajo y el echalote, agregue inmediatamente los camarones, salpimiente y rehogue durante 2 minutos.', '4\nVierta el caldo, tape y cocine a fuego mínimo hasta que suelte el hervor.', '5\nPique la pechuga de pollo y agréguela a la sopa.', '6\nRetire y descarte el laurel y sirva adornado con una rodaja de limón.']","Valoración: 3,3 (3 votos)",,,,,,,"['1 pechuga de pollo', '1 1/2 litro de agua', '1 cda de sal gruesa', '250 g de camarones limpios y frescos', '25 cc de aceite vegetal', '1 diente de ajo, picado', '2 echalotes en finas rebanadas', '1 puerro bien picado', '1 tallo de apio bien picado', '1 hoja de laurel', 'Sal y pimienta a gusto', 'Para decorar', 'Rodajas de limón']",https://www.recetasgratis.net/receta-de-sopa-de-pollo-y-camarones-7052.html
Sopa de mar,,"['1\nEn una olla grande, caliente el aceite de oliva a fuego moderado.', '2\nAgregue los puerros, el hinojo, el ajo, la sal y la pimienta, y saltee, revolviendo de vez en cuando, de 3 a 5 minutos, o hasta que se suavice los puerro.', '3\nAñada a la olla el caldo, el vino blanco, los tomates, el tomillo, y las hojas de laurel.', '4\nEspere a que suelte el hervor, tape, baje la llama y deje hervir a fuego lento por 25 minutos.', '5\nAgregue las almejas, tape y deje hervir por 5 minutos o hasta que se abra las almejas. (Tire las que no lo hagan.)', '6\nCon una espumadera pase las almejas a un bol y tápelas con papel de aluminio.', '7\nAñada los camarones para que hiervan unos tres minutos o hasta que estén bien cocidos; revuelva de vez en cuando.', '8\nRetire la hoja de laurel.', '9\nSirva la sopa con 4 tazones individuales y ponga 3 almejas,añada la albahaca.', '10\nSirva esta sopa de pescado estilo italiano con pan de ajo.']","Valoración: 3,3 (3 votos)",,,,,,,"['1 Cucharada de aceite de oliva', '2 puerros picados', '100 gr. de hinojo o apio, picados', '3 dientes de ajo picados', 'Sal', 'pimienta a gusto', '1 L de caldo o fume de pescado', '100cc de vino blanco', '½ Kg de tomates, pelados y sin semillas, con su jugo', '1 cucharadita de tomillo seco', '2 hoja de laurel', '12 almejas', '¼ Kg de camarones grandes', '¼ Kg de Abadejo', 'Albahaca fresca, picada']",https://www.recetasgratis.net/receta-de-sopa-de-mar-7050.html
Sopa de pescado a la italiana,,"['1\nHierva los mejillones en una olla con agua, retirarlos del fuego apenas se abren, deseche los que quedan cerrados.', '2\nSepare las valvas de los caparazones.', '3\nColoque el aceite en una cacerola y rehogar la cebolla, el hinojo y el ajo.', '4\nColoque luego los tomates picados, el extracto de tomate, el perejil y el caldo, déjelo todo a fuego fuerte hasta que hierva.', '5\nDeje hervir as fuego suave unos 5 minutos. Paso seguido agregar el pescado, los calamares y los langostinos, los mejillones y deje cocinar hasta que los pescados estén tiernos.']","Valoración: 3,3 (3 votos)",,,,,,,"['750 g de mejillones con caparazón', '500 g de filet de merluza o similar sin espinas cortados en cubitos', '500 g de langostinos pelados', '250 g de aros de calamar', '50 cc de aceite de oliva', '2 dientes de ajo picados', '200 g de hinojo picado', '1 cebolla picada', '500 g de tomate perita en lata', '40 g de extracto de tomate', '2 l de fondo de pescado', '70 g de perejil picado']",https://www.recetasgratis.net/receta-de-sopa-de-pescado-a-la-italiana-7051.html
Sopa de ave fácil,,"['1\nEn una sartén de teflón ponga la manteca a fuego moderado y rehogue el puerro y el echalote.', '2\nAñada la harina y revuelva con cuchara de madera hasta que se integre con la harina, sin que se dore.', '3\nVierta el caldo y caliéntelo hasta que suelte el hervor. Agregue las papas, la pechuga desmenuzada y la pimienta y cocine hasta que las papas estén tiernas. Añada el perejil justo antes de servir.']","Valoración: 2,8 (4 votos)",4 comensales,1h 30m,Plato principal,Dificultad media,,[],"['2 cucharadas de manteca', '1 puerro chico, en finas rodajas', '1 echalote fileteado', '1 cucharada de harina', '1500 cc de caldo de pollo', '500 g de papas blancas, peladas y cortadas en cubos bien pequeños', '1/2 pechuga de pollo, cocida y desmenuzada o rallada', 'Pimienta blanca', '2 cucharadas de perejil picado']",https://www.recetasgratis.net/receta-de-sopa-de-ave-facil-7045.html
Sopa de cebollas,,"['1\nEn una olla grande, con la tapa, caliente el aceite, agregue las cebollas y cocine, revolviendo con cuchara de madera, hasta que se pongan transparentes.', '2\nEspolvoree el azúcar, el orégano, el perejil, el comino, la pimienta de jamaica y la canela, y cocine unos 20 minutos, revolviendo de vez en cuando.', '3\nAgregue el vinagre y el jugo de naranjas, y cocine 5 minutos más.', '4\nIncorpore el caldo y deje hervir a fuego moderado.', '5\nTape y baje el fuego para que la sopa siga hirviendo a fuego lento hast que se reduzca y espese.', '6\nAgregue la sal y la pimienta.']","Valoración: 3,5 (13 votos)",,,,,,,"['3 cucharadas de aceite de oliva', '6 cebollas moradas o blancas, grandes, en rebanadas delgadas', '1 cucharada de azúcar', '1 cucharadita de orégano picado', '1/2 cucharadita de comino en polvo', '¼ cucharadita de pimienta de jamaica', '¼ de canela en polvo', '½ taza de vinagre de vino tinto', 'El jugo de 1 naranja', '1y1/2 litro de caldo de pollo', 'Sal', 'pimienta negra a gusto']",https://www.recetasgratis.net/receta-de-sopa-de-cebollas-7046.html
